Method,Path,Body,Single_Q,Double_Q,Dashes,Braces,Slashes,Dots,Asterik,Bad_Words,target
GET,/widget/GetCustomDataWidget?p_id=952&wid=0&page_size=4&type=canvas-display&page_id=1&lc=0&filter_type=&filter_value=&lastWid=6343&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=none&variant=10&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637157636048,,0,0,0,0,2,2,0,0,0
GET,/embed/widget/ZITBootstrap-newpanel-1.0.min.js?v=3.6.4,,0,0,0,0,3,5,0,0,0
GET,/wi/ytc.js,,0,0,0,0,2,1,0,0,0
GET,/embed/widget/ZITNewCanvas.js?v=3.6.4,,0,0,0,0,3,3,0,0,0
GET,/Upload/f847a88e722e4dea9b42b566fa7a8a5f_b.jpg,,0,0,0,0,2,1,0,0,0
GET,/Img/arrow_w.png,,0,0,0,0,2,1,0,0,0
GET,/Img/cross_w.png,,0,0,0,0,2,1,0,0,0
GET,/embed/widget/jquery.3.6.min.js,,0,0,0,0,3,4,0,0,0
GET,/Img/cross_b.png,,0,0,0,0,2,1,0,0,0
GET,/cdnjs.cloudflare.com/ajax/libs/galleriffic/2.0.1/css/loader.gif?zoom=2&resize=48%2C48,,0,0,0,0,7,5,0,0,0
GET,/ajax/libs/font-awesome/4.2.0/css/font-awesome.css,,0,0,0,0,6,3,0,0,0
GET,/s/roboto/v29/KFOmCnqEu92Fr1Mu4mxK.woff2,,0,0,0,0,4,1,0,0,0
GET,/widget/GetCustomDataWidget?p_id=1014&wid=0&page_size=4&type=canvas-panel&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=popup&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637158008025,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=1014&wid=0&page_size=4&type=canvas-panel&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=slide&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637158153918,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=952&wid=0&page_size=4&type=canvas-panel&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=slide&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637157420963,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=952&wid=0&page_size=4&type=canvas-email&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=popup&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637158242149,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=1014&wid=0&page_size=4&type=canvas-email&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=popup&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637157382964,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=952&wid=0&page_size=4&type=canvas-email&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=slide&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637157281663,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=1014&wid=0&page_size=4&type=canvas-email&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=slide&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637158153809,,0,0,0,0,2,2,0,0,0
GET,/widget/GetCustomDataWidget?p_id=952&wid=0&page_size=4&type=canvas-panel&page_id=1&lc=0&filter_type=&filter_value=&sxTg=NA&clickedId=0&iss=2039875&dtId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M%3D&rrc=&display=0&isnew=0&animation_type=popup&doffer=-1&nba=1&sxmd=0&isContentGate=0&tP=0&dp=1&pv=1&apiKey=qobuskf@g&isreturn=0&ss=&isSlideClose=0&isSlideCloseAlt=0&isSlideTypeClose=&dS=1&cPs=1&freq=1&vName=blaizeLoggedin&vValue=false&vName2=noofproduct&vValue2=0&lPs=0&lVd=2021-11-17&isEmailAud=0&isPanelAud=0&isRegAud=0&isExAud=0&isDropoff=0&sxrd=0&host=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&keyword=%23Living%2C%23relationships%2CSingles%20Are%20Starting%20to%20Care%20Less%20About%20Looks.%20Here%E2%80%99s%20What%20They%20Want%20Instead%2C&callback=jsonp1637158013167,,0,0,0,0,2,2,0,0,0
GET,/6195b252_3973263ec9bb3e4b938c5c86e3e974cdd8e257be/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331098.mp4.m3u8,,0,0,0,0,6,2,0,0,0
GET,/wp-content/uploads/2021/04/pandemic-living-alone-single-4.jpg?quality=85&resize=100%2C100,,0,0,0,0,5,1,0,0,0
GET,/wp-content/uploads/2021/05/2021-mothers-day-gift-guide.jpg?quality=85&resize=100%2C100,,0,0,0,0,5,1,0,0,0
GET,/api/experience/candidate/da6ecc9b47fdaed8ca59cf2c13f8695d/config.js,,0,0,0,0,5,1,0,0,0
GET,/6195b252_272a46e2476ce0988182e7ea27f98e08e06db8d0/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331104.mp4-8.ts,,0,0,0,0,6,2,0,0,0
GET,/wp-content/uploads/2021/05/Wedding-spread-version-5-for-social.png?quality=85&resize=100%2C100,,0,0,0,0,5,1,0,0,0
GET,/wp-content/uploads/2021/06/dr-becky-parenting-millenials-1.jpg?quality=85&resize=100%2C100,,0,0,0,0,5,1,0,0,0
GET,/static/pathfora.min.css,,0,0,0,0,2,2,0,0,0
GET,/static/pathfora.min.js,,0,0,0,0,2,2,0,0,0
GET,/SetPermissionWithData?origId=&clientId=false&curSession=&pid=952&nba=-1&sxTg=NA&refer=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&callback=jsonp1637157514399,,0,0,0,0,1,1,0,0,0
GET,/api/personalize/da6ecc9b47fdaed8ca59cf2c13f8695d/user/_uid/0d682c57-dbd3-40f8-a5d3-7cae98aceef7?segments=true&mergestate=true&state=%7B%22_uid%22%3A%220d682c57-dbd3-40f8-a5d3-7cae98aceef7%22%2C%22utm_source%22%3A%22pocket-newtab-global-en-GB%22%2C%22_sesstart%22%3A%221%22%2C%22_ref%22%3A%22getpocket.com%2Frecommendations%22%2C%22_sesref%22%3A%22getpocket.com%2Frecommendations%22%2C%22_tz%22%3A0%2C%22_ul%22%3A%22en-US%22%2C%22_sz%22%3A%221920x1080%22%2C%22lyticsDataLayer%22%3A%7B%22dataLayer%22%3A%5B%7B%22event%22%3A%22OneTrustLoaded%22%2C%22OnetrustActiveGroups%22%3A%22%2C%2C%22%2C%22gtm.uniqueEventId%22%3A3%7D%2C%7B%22event%22%3A%22OptanonLoaded%22%2C%22OptanonActiveGroups%22%3A%22%2C%2C%22%2C%22gtm.uniqueEventId%22%3A4%7D%2C%7B%22gtm.start%22%3A1637157260057%2C%22event%22%3A%22gtm.js%22%2C%22gtm.uniqueEventId%22%3A5%7D%2C%7B%220%22%3A%22js%22%2C%221%22%3A%222021-11-17T13%3A54%3A20.058Z%22%7D%2C%7B%220%22%3A%22config%22%2C%221%22%3A%22UA-97981691-1%22%2C%222%22%3A%7B%22send_page_view%22%3Afalse%7D%7D%5D%2C%22OnetrustActiveGroups%22%3A%22%2CC0001%2CC0002%2CC0003%2CC0004%2CC0005%2CSTACK42%2C%22%7D%2C%22_nmob%22%3A%22t%22%2C%22_device%22%3A%22desktop%22%2C%22url%22%3A%22time.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB%22%2C%22_v%22%3A%223.0.24%22%7D&ts=1637157268950&callback=u_794538613946434700,,0,0,0,0,6,11,0,0,0
GET,/c/da6ecc9b47fdaed8ca59cf2c13f8695d?_e=pv&utm_source=pocket-newtab-global-en-GB&_sesstart=1&_ref=getpocket.com%2Frecommendations&_sesref=getpocket.com%2Frecommendations&_tz=0&_ul=en-US&_sz=1920x1080&lyticsDataLayer.dataLayer_len=5&lyticsDataLayer.dataLayer_json=%5B%7B%22event%22%3A%22OneTrustLoaded%22%2C%22OnetrustActiveGroups%22%3A%22%2C%2C%22%2C%22gtm.uniqueEventId%22%3A3%7D%2C%7B%22event%22%3A%22OptanonLoaded%22%2C%22OptanonActiveGroups%22%3A%22%2C%2C%22%2C%22gtm.uniqueEventId%22%3A4%7D%2C%7B%22gtm.start%22%3A1637157260057%2C%22event%22%3A%22gtm.js%22%2C%22gtm.uniqueEventId%22%3A5%7D%2C%7B%220%22%3A%22js%22%2C%221%22%3A%222021-11-17T13%3A54%3A20.058Z%22%7D%2C%7B%220%22%3A%22config%22%2C%221%22%3A%22UA-97981691-1%22%2C%222%22%3A%7B%22send_page_view%22%3Afalse%7D%7D%5D&lyticsDataLayer.dataLayer.event=OneTrustLoaded&lyticsDataLayer.dataLayer.OnetrustActiveGroups=%2C%2C&lyticsDataLayer.dataLayer.gtm.uniqueEventId=3&lyticsDataLayer.dataLayer.event=OptanonLoaded&lyticsDataLayer.dataLayer.OptanonActiveGroups=%2C%2C&lyticsDataLayer.dataLayer.gtm.uniqueEventId=4&lyticsDataLayer.dataLayer.gtm.start=1637157260057&lyticsDataLayer.dataLayer.event=gtm.js&lyticsDataLayer.dataLayer.gtm.uniqueEventId=5&lyticsDataLayer.OnetrustActiveGroups=%2CC0001%2CC0002%2CC0003%2CC0004%2CC0005%2CSTACK42%2C&_ts=1637157268759&_nmob=t&_device=desktop&url=time.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&_v=3.0.24&_uid=0d682c57-dbd3-40f8-a5d3-7cae98aceef7&_getid=t,,0,0,0,0,2,37,0,0,0
GET,/GetGAAccount?refer=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&callback=jsonp1637157396373,,0,0,0,0,1,1,0,0,0
GET,/cid/da6ecc9b47fdaed8ca59cf2c13f8695d?assign=false&callback=u_660353891057949600,,0,0,0,0,2,0,0,0,0
